driverStandingsId,points,position,wins,raceId,driverId
64434,21,8,0,844,808
64435,41,5,0,844,4
64436,55,3,0,844,17
64437,46,4,0,844,18
64438,24,6,0,844,13
64439,6,12,0,844,67
64440,2,13,0,844,16
64441,2,14,0,844,814
64442,0,15,0,844,153
64443,21,7,0,844,2
64444,0,17,0,844,15
64445,0,19,0,844,816
64446,0,21,0,844,10
64447,0,16,0,844,22
64448,20,9,0,844,3
64449,0,20,0,844,5
64450,6,11,0,844,30
64451,0,22,0,844,813
64452,8,10,0,844,155
64453,0,24,0,844,24
64454,0,18,0,844,815
64455,0,23,0,844,39
64456,118,1,4,845,20
64457,77,2,1,845,1
64458,21,9,0,845,808
64459,51,5,0,845,4
64460,67,3,0,845,17
64461,61,4,0,845,18
64462,24,8,0,845,13
64463,6,12,0,845,67
64464,2,13,0,845,16
64465,2,15,0,845,814
64466,0,16,0,845,153
64467,25,7,0,845,2
64468,0,18,0,845,15
64469,0,19,0,845,816
64470,0,22,0,845,10
64471,0,17,0,845,22
64472,26,6,0,845,3
64473,0,20,0,845,5
64474,14,10,0,845,30
64475,0,21,0,845,813
64476,9,11,0,845,155
64477,0,24,0,845,24
64478,2,14,0,845,815
64479,0,23,0,845,39
64480,143,1,5,846,20
64481,85,2,1,846,1
64482,21,9,0,846,808
64483,69,5,0,846,4
64484,79,3,0,846,17
64485,76,4,0,846,18
64486,24,8,0,846,13
64487,7,13,0,846,67
64488,8,12,0,846,16
64489,2,16,0,846,814
64490,0,17,0,846,153
64491,29,6,0,846,2
64492,0,18,0,846,15
64493,0,20,0,846,816
64494,0,22,0,846,10
64495,2,14,0,846,22
64496,26,7,0,846,3
64497,0,19,0,846,5
64498,14,11,0,846,30
64499,0,21,0,846,813
64500,19,10,0,846,155
64501,0,23,0,846,24
64502,2,15,0,846,815
64503,0,24,0,846,39
64504,161,1,5,847,20
64505,85,4,1,847,1
64506,31,7,0,847,808
64507,69,5,0,847,4
64508,94,3,0,847,17
64509,101,2,1,847,18
64510,32,6,0,847,13
64511,8,13,0,847,67
64512,8,12,0,847,16
64513,2,17,0,847,814
64514,4,14,0,847,153
64515,29,8,0,847,2
64516,0,19,0,847,15
64517,0,21,0,847,816
64518,0,25,0,847,10
64519,4,15,0,847,22
64520,26,10,0,847,3
64521,0,22,0,847,5
64522,26,9,0,847,30
64523,0,24,0,847,813
64524,25,11,0,847,155
64525,0,20,0,847,24
64526,2,16,0,847,815
64527,0,23,0,847,39
64528,0,18,0,847,37
64529,186,1,6,848,20
64530,97,4,1,848,1
64531,31,8,0,848,808
64532,87,5,0,848,4
64533,109,3,0,848,17
64534,109,2,1,848,18
64535,42,6,0,848,13
64536,8,14,0,848,67
64537,10,12,0,848,16
64538,2,17,0,848,814
64539,8,13,0,848,153
64540,30,9,0,848,2
64541,0,19,0,848,15
64542,0,21,0,848,816
64543,0,25,0,848,10
64544,4,15,0,848,22
64545,32,7,0,848,3
64546,0,22,0,848,5
64547,26,10,0,848,30
64548,0,24,0,848,813
64549,25,11,0,848,155
64550,0,20,0,848,24
64551,2,16,0,848,815
64552,0,23,0,848,39
64553,0,18,0,848,37
64554,204,1,6,849,20
64555,109,4,1,849,1
64556,31,9,0,849,808
64557,112,3,1,849,4
64558,124,2,0,849,17
64559,109,5,1,849,18
64560,52,6,0,849,13
64561,8,15,0,849,67
64562,10,12,0,849,16
64563,2,17,0,849,814
64564,9,13,0,849,153
64565,34,8,0,849,2
64566,0,19,0,849,15
64567,0,21,0,849,816
64568,0,25,0,849,10
64569,4,16,0,849,22
64570,40,7,0,849,3
64571,0,22,0,849,5
64572,28,10,0,849,30
64573,0,23,0,849,813
64574,25,11,0,849,155
64575,0,20,0,849,24
64576,8,14,0,849,815
64577,0,24,0,849,39
64578,0,18,0,849,37
64579,0,26,0,849,817
64580,216,1,6,850,20
64581,134,3,2,850,1
64582,32,9,0,850,808
64583,130,4,1,850,4
64584,139,2,0,850,17
64585,109,5,1,850,18
64586,62,6,0,850,13
64587,8,15,0,850,67
64588,18,12,0,850,16
64589,2,17,0,850,814
64590,9,13,0,850,153
64591,34,8,0,850,2
64592,0,19,0,850,15
64593,0,22,0,850,816
64594,0,24,0,850,10
64595,4,16,0,850,22
64596,46,7,0,850,3
64597,0,23,0,850,5
64598,32,10,0,850,30
64599,0,21,0,850,813
64600,27,11,0,850,155
64601,0,20,0,850,24
64602,8,14,0,850,815
64603,0,25,0,850,39
64604,0,18,0,850,37
64605,0,26,0,850,817
64606,0,27,0,850,812
64607,234,1,6,851,20
64608,146,3,2,851,1
64609,32,9,0,851,808
64610,145,4,1,851,4
64611,149,2,0,851,17
64612,134,5,2,851,18
64613,70,6,0,851,13
64614,12,13,0,851,67
64615,18,12,0,851,16
64616,8,16,0,851,814
64617,10,14,0,851,153
64618,34,8,0,851,2
64619,0,19,0,851,15
64620,0,22,0,851,816
64621,0,24,0,851,10
64622,4,17,0,851,22
64623,48,7,0,851,3
64624,0,23,0,851,5
64625,32,10,0,851,30
64626,0,21,0,851,813
64627,27,11,0,851,155
64628,0,20,0,851,24
64629,8,15,0,851,815
64630,0,25,0,851,39
64631,0,18,0,851,37
64632,0,26,0,851,817
64633,0,27,0,851,812
64689,0,22,0,852,811
64687,0,27,0,852,817
64685,0,26,0,852,39
64684,8,15,0,852,815
64683,0,21,0,852,24
64680,42,8,0,852,30
64679,0,24,0,852,5
64676,0,25,0,852,10
64675,0,23,0,852,816
64672,10,14,0,852,153
64669,12,13,0,852,67
64668,74,6,0,852,13
64667,149,4,2,852,18
64663,146,5,2,852,1
64688,0,28,0,852,812
64686,0,19,0,852,37
64677,4,17,0,852,22
64674,0,20,0,852,15
64681,1,18,0,852,813
64671,8,16,0,852,814
64682,27,11,0,852,155
64678,56,7,0,852,3
64673,34,10,0,852,2
64666,167,2,0,852,17
64670,24,12,0,852,16
64662,259,1,7,852,20
64665,157,3,1,852,4
64664,34,9,0,852,808
64710,284,1,8,853,20
64711,158,5,2,853,1
64712,34,9,0,853,808
64713,172,2,1,853,4
64714,167,4,0,853,17
64715,167,3,2,853,18
64716,82,6,0,853,13
64717,13,14,0,853,67
64718,24,12,0,853,16
64719,12,15,0,853,814
64720,16,13,0,853,153
64721,34,10,0,853,2
64722,0,21,0,853,15
64723,0,24,0,853,816
64724,0,25,0,853,10
64725,4,17,0,853,22
64726,56,7,0,853,3
64727,0,22,0,853,5
64728,52,8,0,853,30
64729,1,19,0,853,813
64730,27,11,0,853,155
64731,0,23,0,853,24
64732,8,16,0,853,815
64733,0,26,0,853,39
64734,0,20,0,853,37
64735,0,27,0,853,817
64736,0,28,0,853,812
64737,2,18,0,853,811
64738,309,1,9,854,20
64739,168,5,2,854,1
64740,34,9,0,854,808
64741,184,3,1,854,4
64742,182,4,0,854,17
64743,185,2,2,854,18
64744,84,6,0,854,13
64745,13,15,0,854,67
64746,28,11,0,854,16
64747,20,13,0,854,814
64748,16,14,0,854,153
64749,34,10,0,854,2
64750,0,21,0,854,15
64751,0,24,0,854,816
64752,0,25,0,854,10
64753,4,17,0,854,22
64754,62,7,0,854,3
64755,0,22,0,854,5
64756,52,8,0,854,30
64757,1,19,0,854,813
64758,27,12,0,854,155
64759,0,23,0,854,24
64760,9,16,0,854,815
64761,0,26,0,854,39
